Field,English,German,Italian,Slovene,Polish,French,Swedish,Dutch,Finnish,Croatian
10,Contact tracing and quarantine is not feasible at high prevalence:,Kontaktnachverfolgung und Quarantäne sind bei hohen Fallzahlen nicht durchführbar: ,Tracciamento dei contatti e quarantena diventano ingestibili con un’elevata prevalenza: ,Sledenje stikov in karantena pri visoki razširjenosti nista izvedljiva: ,Śledzenie kontaktów i kwarantanna są niewykonalne przy wysokiej liczbie zakażeń: ,Le traçage des contacts et la mise en quarantaine ne sont pas possibles en cas de forte prévalence :,Kontaktspårning och karantänsättning är inte genomförbara vid stort antal nya fall. ,Contactopsporing en quarantaine is niet haalbaar bij een hoge prevalentie: ,Kontaktien jäljitys ja karanteenit eivät ole mahdollisia prevalenssin eli esiintyvyyden ollessa korkea: ,Praćenje kontakata i karantena/samoizolacija otežano se provode pri visokoj prevalenciji: 
11,"Assuming a state with 300 new cases per million per day, 10 contacts per case, and 10 days quarantine: Then 3% of the population would need to be in quarantine, resulting in strong reductions of the workforce.","Nehmen wir an, in einem Land gibt es täglich 300 neue Fälle pro Million EinwohnerInnen, zehn Kontakte pro Fall und zehn Tage Quarantäne – dann müssten ständig drei Prozent der Bevölkerung in Quarantäne sein. Das würde zu einer starken Reduktion der Arbeitskraft führen.","Immaginando una situazione con 300 nuovi casi per milione al giorno, 10 contatti per caso, e 10 giorni di quarantena, il 3% della popolazione dovrebbe essere in quarantena, con una conseguente forte riduzione della forza lavoro.","Predpostavimo državo s 300 novimi primeri na milijon na dan, z 10-imi stiki na primer in 10-dnevno karanteno: Potem bi moralo biti v karanteni 3% prebivalstva, kar bi povzročilo močno zmanjšanje delovne sile. ","zakładając w jednym kraju 300 nowych przypadków na milion mieszkańców dziennie, 10 kontaktów na przypadek i 10 dni kwarantanny, kwarantannie musiałoby się poddać 3% populacji, co spowodowałoby znaczny ubytek liczby osób pracujących.","à titre d’illustration, supposons un Etat avec 300 nouveaux cas quotidien par million d’habitants, 10 contacts par cas et 10 jours de quarantaine : Il faudrait alors que 3 % de la population soit en quarantaine, ce qui entraînerait une forte réduction de la force de travail de l’Etat concerné. ","Som exempel kan tas ett land med 300 nya fall per miljon per dag, 10 kontakter per fall och 10 dagars karantän. I denna situation skulle 3% av befolkningen behöva vara i karantän, vilket resulterar i stark minskning av arbetskraften.","Veronderstel een situatie met 300 nieuwe gevallen per miljoen per dag, 10 contacten per geval en 10 dagen quarantaine: dan zou 3% van de bevolking in quarantaine moeten zijn, wat resulteert in sterke reducties van het personeelsbestand. ","Jos meillä on 300 uutta tapausta miljoonaa asukasta kohden päivässä, 10 kontaktia tapausta kohden ja 10 päivän karanteeni, niin kolme prosenttia väestöstä olisi koko ajan karanteenissa: tämä vähentää voimakkaasti työvoimaa.","Pretpostavimo situaciju s brojem od 300 novootkrivenih slučajeva zaraze na milijun stanovnika dnevno, 10 kontakata po jednom slučaju zaraze i karanteni u trajanju od 10 dana: tada bi 3% populacije trebalo biti u karanteni što bi rezultiralo značajnim smanjenjem radne snage. "
12,Aiming for naturally acquired population immunity is not an option ,Eine natürlich erworbene Immunität der Bevölkerung ist keine Option ,Mirare a un’immunità di gregge acquisita naturalmente non è possibile ,Ciljanje na naravno pridobljeno populacijsko imunost ni sprejemljiva možnost ,Oczekiwanie na nabycie przez populację odporności zbiorowej jest wykluczone ,Viser l'immunité naturellement acquise de la population n'est pas une option ,Att sträva efter naturligt förvärvad befolkningsimmunitet är inte ett acceptabelt alternativ ,Streven naar natuurlijk verworven immuniteit van de bevolking is geen optie ,Väestötason immuniteetin tavoittelu sairastamalla ei ole vaihtoehto ,Težiti prirodnom stjecanju imunosti u populaciji nije rješenje 
13,"The heavy burden in terms of morbidity and mortality, reflected also in the current excess mortality, and the uncertain duration of immunity should strongly discourage this approach. ","Bei COVID-Erkrankten gibt es eine hohe Morbidität und Mortalität, die sich auch in der aktuellen Übersterblichkeit widerspiegelt. Zudem ist bisher nicht bekannt, wie lange eine erworbene Immunität anhält sollten von diesem Ansatz dringend abraten.  ","Il peso enorme in termini di morbidità e mortalità, ben visibile anche nell’attuale eccesso di mortalità, e l’incerta durata dell’immunità devono fortemente scoraggiare questo approccio.     ","Težko breme hudih oblik bolezni in umrljivosti, ki se odraža tudi v trenutni presežni umrljivosti, in negotovo trajanje imunosti bi morali močno odvračati od tega pristopa.","ponieważ: (i) zakażenia SARS-CoV-2 wiążą się z wysokim obciążeniem związanym z zachorowalnością i śmiertelnością, co już znajduje odzwierciedlenie w obecnej nadmiernej liczbie zgonów, oraz (ii) okres utrzymywania się nabytej odporności jest niepewny","La lourde charge en termes de morbidité et de mortalité, qui se reflète également dans la surmortalité actuelle, et la durée incertaine de l'immunité devraient fortement décourager cette approche. ","De svåra påfrestningar som hög sjuklighet och dödlighet medför, vilket också återspeglas i den nuvarande överdödligheten, och den osäkra varaktigheten av immuniteten talar starkt emot detta tillvägagångssätt.","De zware last in termen van morbiditeit en mortaliteit, ook weerspiegeld in de huidige oversterfte, en de onzekere immuniteitsduur zijn redenen om deze benadering sterk te ontmoedigen. ",Tämä strategia johtaa liian suureen sairastuvuuteen ja kuolleisuuteen. Nykyinen ylikuolleisuus Euroopassa ja immuniteetin epävarma kesto riittävät varoittamaan tällaisesta lähestymistavasta.,"Ovaj pristup ne bi trebalo poticati zbog velikog morbiditeta i mortaliteta povezanog s COVID-19, kao i zbog posljedičnog viška smrtnosti, uz neizvjesno trajanje imuniteta. "
14,Planning is possible:,Niedrige Fallzahlen erlauben Planbarkeit: ,Pianificare è possibile: ,Načrtovanje je mogoče: ,Planowanie jest możliwe: ,La planification est possible : ,Planering är möjlig: ,Planning is mogelijk: ,Suunnittelu on mahdollista: ,Planiranje je moguće: 
15,"When case numbers are low, there is no need for rapid policy changes. This reduces the economic damage and the uncertainty and strain on mental health. However, if case numbers rise too high, preventive measures must be taken decisively to reduce them again - and the earlier, the better  ","Die Politik muss nicht überhastete, plötzliche Änderungen beschließen, was den wirtschaftlichen Schaden ebenso wie die Verunsicherung und psychische Belastung der Bevölkerung reduziert. Sollten die Fallzahlen stark steigen, müssen präventive Maßnahmen entschlossen ergriffen werden, um diese wieder zu senken – je früher, desto besser ","Quando il numero di casi è mantenuto basso, non è necessario cambiare le politiche in modo rapido e improvviso. Questo riduce il danno economico, l’incertezza e lo stress per la salute mentale. Tuttavia, se il numero di casi aumenta troppo, bisogna attuare misure preventive in modo rapido e deciso per abbassarlo di nuovo – e prima le si attua, meglio è ","Ko je število primerov malo, hitre spremembe politike niso potrebne. To zmanjšuje gospodarsko škodo in negotovost, kakor tudi obremenitev duševnega zdravja. Če pa število primerov preveč naraste, je treba odločno sprejeti preventivne ukrepe, da bi širjenje znova obvladali - in to čim prej tem bolje ","gdy liczba zakażeń jest niska, nie są potrzebne gwałtowne zmiany polityki. Zmniejsza to straty ekonomiczne oraz niepewność i obciążenie dla zdrowia psychicznego ludzi. Jeśli jednak liczba przypadków nadmiernie wzrośnie, należy podjąć zdecydowane działania zapobiegawcze, aby ją ponownie obniżyć – i im wcześniej, tym lepiej ","lorsque le nombre de cas est faible, il n'est pas nécessaire de changer rapidement de politique. Cela permet de réduire les dommages économiques ainsi que l'incertitude et la pression sur la santé mentale. Cependant, si le nombre de cas augmente trop, des mesures préventives doivent être prises de manière décisive pour les faire baisser à nouveau - et le plus tôt sera le mieux ","När antalet nya fall är lågt behövs inga snabba policyändringar. Detta minskar de ekonomiska skadorna samt osäkerheten och belastningen på mental hälsa. Däremot, om antalet fall stiger för högt, måste förebyggande åtgärder vidtas avgörande för att få ner dem igen - ju tidigare, desto bättre ","als het aantal infecties laag is, zijn snelle beleidswijzigingen niet nodig. Dit vermindert de economische schade, de onzekerheid en druk op de geestelijke gezondheid. Als het aantal gevallen echter te hoog oploopt, moeten preventieve maatregelen worden genomen om ze weer terug te dringen - en hoe eerder, hoe beter ","Tapausmäärien ollessa pieniä politiikkatoimia ei tarvitse nopeasti muuttaa. Tämä vähentää taloudellisia vahinkoja, epävarmuutta ja mielenterveyteen kohdistuvaa rasitusta. Jos tapausten määrä kuitenkin kasvaa liian suureksi, ennaltaehkäisevät toimenpiteet on toteutettava päättäväisesti tapausmäärien vähentämiseksi uudelleen – mitä aikaisemmin, sitä parempi ","Kada imamo mali broj slučajeva nije potrebno brzo mijenjati planove. Time se izbjegavaju negativni gospodarski učinci, kao i nesigurnost te ugroza mentalnog zdravlja. Međutim, ako broj slučajeva previše poraste, potrebno je poduzeti odlučne preventivne mjere kako bi se broj slučajeva opet smanjio, što ranije, to bolje "
16,"To better manage the COVID-19 pandemic, we propose a strategy with three core elements:","Um den Umgang mit der COVID-19 Pandemie zu verbessern, schlagen wir daher eine gesamteuropäische Strategie vor, die folgende drei Kernelemente enthalten sollte:","Per gestire meglio la pandemia di COVID-19, proponiamo una strategia basata su tre elementi fondamentali:",Za boljše obvladovanje pandemije COVID-19 predlagamo strategijo s tremi ključnimi elementi:,"Aby lepiej zarządzać pandemią COVID-19, proponujemy strategię składającą się z trzech podstawowych elementów:","Pour mieux gérer la pandémie COVID-19, nous proposons une stratégie comportant trois éléments essentiels :",För att bättre kunna hantera COVID-19-pandemin föreslår vi en strategi med tre kärnelement:,"Om de COVID-19-pandemie beter te beheersen, stellen we een strategie voor met drie kernelementen: ","COVID-19-pandemian hallitsemiseksi ehdotamme strategiaa, jossa on kolme keskeistä osaa:","Za bolje upravljanje pandemijom COVID-19, predlažemo strategiju koja se temelji na tri osnovna elementa: "
17,Achieve low case numbers.,Rasch niedrige Fallzahlen erreichen,Arrivare a un basso numero di casi.,Dosežimo majhno število primerov.,Osiągnięcie niskiej liczby zakażeń. ,Atteindre un faible nombre de cas.,Uppnå lågt antal fall.,Behaal lage aantallen infecties. ,Saavutetaan alhainen tartuntatapausten määrä.,Postići mali broj slučajeva. 
18,"Aim for a target of 10 new COVID-19 cases or less per million people per day. This target has already been reached in many countries, and can be reached again throughout Europe by spring, at the latest.",Anzustreben sind maximal zehn neue COVID-19-Fälle pro Million Menschen pro Tag. Dieses Ziel wurde in vielen Ländern erreicht und kann in ganz Europa spätestens im Frühjahr wieder erreicht werden.,"Puntare a un obiettivo di non più di 10 nuovi casi di COVID-19 per milione di persone al giorno. Questo obiettivo è stato raggiunto in passato in molti Paesi, e può essere raggiunto di nuovo in tutta Europa, entro la primavera al più tardi.","Cilj je največ 10 novih primerov COVID-19 na milijon ljudi na dan. Ta cilj je bil dosežen v mnogih državah, najpozneje do pomladi pa ga je mogoče ponovno doseči po vsej Evropi. ",Należy wyznaczyć cel polegający na utrzymaniu maksymalnej liczby 10 nowych przypadków COVID-19 na milion osób dziennie. Cel ten został już osiągnięty w wielu krajach i może zostać ponownie osiągnięty w całej Europie najpóźniej do wiosny.,Viser un objectif de pas plus de 10 nouveaux cas COVID-19 quotidien par million de personnes. Cet objectif a été atteint dans de nombreux pays et peut être atteint à nouveau dans toute l'Europe au plus tard au printemps.,Sikta på ett mål om högst 10 nya fall av COVID-19 per miljon människor per dag. Detta mål hade uppnåtts på författaren i många länder och kan nås igenom hela Europa senast på våren.,Streef naar een doelstelling van niet meer dan 10 nieuwe COVID-19-gevallen per miljoen mensen per dag. Dit doel is in veel landen bereikt en kan uiterlijk in het voorjaar weer in heel Europa worden bereikt. ,"Tavoitteena on enintään 10 uutta COVID-19 -tapausta miljoonaa ihmistä kohti päivässä. Tämä tavoite oli jo saavutettu monissa maissa, ja se voidaan saavuttaa uudelleen Euroopan laajuisesti viimeistään kevääseen mennessä.","Nastojati postići ne više od 10 novootkrivenih slučajeva COVID-19 na milijun stanovnika dnevno. Taj je cilj postignut u mnogim zemljama, a najkasnije do proljeća mogao bi se ponovno postići u cijeloj Europi. "
19,"Take firm action to reduce case numbers quickly. Strong interventions have proven efficient, and balance the rapid achievement of low case numbers against the negative impact of the interventions on mental health and the economy.","Um die Fallzahlen schnell zu reduzieren, braucht es entschlossenes Handeln. Tiefgreifende Interventionen haben sich als effizient erwiesen. Sie stellen das rasche Erreichen niedriger Fallzahlen bei kurzdauernder Belastung von Psyche und Volkswirtschaft sicher.",Agire con decisione per ridurre rapidamente il numero di casi. Interventi forti si sono dimostrati efficaci e sono un buon compromesso tra il rapido raggiungimento di un basso numero di casi e lo stress per la salute mentale e l’economia.,"Ukrepati je potrebno odločno, da se bo število primerov hitro manjšalo. Odločne in stroge intervencije so se izkazale za učinkovite, še posebej v luči ravnotežja med hitrim doseganjem upada primerov in obremenitve za duševno zdravje in gospodarstvo.",Należy podjąć zdecydowane działania w celu szybkiego zmniejszenia liczby zakażeń. Zdecydowane środki okazały się skuteczne i pozwalają zrównoważyć szybkie osiągnięcie niskiej liczby przypadków z negatywnym wpływem obostrzeń na zdrowie psychiczne ludzi i na gospodarkę.,Prendre des mesures fermes pour réduire rapidement le nombre de cas. Des interventions fortes se sont avérées efficaces et permettent de trouver un équilibre entre la réduction rapide du nombre de cas et la pression exercée sur la santé mentale et l'économie.,Vidta åtgärder för att snabbt minska antalet nya fall. Starka insatser har visat sig vara effektiva.  Att snabbt nå ett lågt antal fall skall vägas mot den belastning på mental hälsa och ekonomin som både höga smittal och hårda restriktioner utgör.,Onderneem stevige maatregelen om het aantal infecties snel te verminderen. Krachtige interventies zijn efficiënt gebleken en het snel bereiken van lage aantallen infecties weegt op tegen de druk op de geestelijke gezondheid en de economie. ,"Tartuntojen vähentämiseksi pitää toimia päättäväisesti ja nopeasti. Voimakkaat toimet ovat osoittautuneet tehokkaiksi, ja painavat nopeasti tartuntamääriä alas rasittamatta liikaa mielenterveyttä tai taloutta.",Poduzeti odlučne mjere za brzo smanjenje broja slučajeva. Snažne intervencije pokazale su se učinkovitima i uravnotežuju brzo postizanje malog broja slučajeva s manjim opterećenjem mentalnog zdravlja i gospodarstva. 
20,"To avoid a ping-pong effect by importing and reimporting SARS-CoV-2 infections, the reduction should be synchronized across all European countries and start as soon as possible. This synchronization will allow European borders to stay open.","Um einen Ping-Pong-Effekt von importierten und re-importierten COVID-Infektionen zu vermeiden, sollten die Bemühungen um niedrige Fallzahlenin allen europäischen Ländern synchronisiert sein und so schnell wie möglich beginnen. Die Koordination der Maßnahmen erlaubt, dass die europäischen Grenzen offenbleiben können.","Per evitare un effetto ping-pong di importazione e reimportazione di infezioni da SARS-CoV-2, la riduzione dei casi dovrebbe essere sincronizzata in tutti i Paesi europei e cominciare il prima possibile. Questa sincronizzazione consentirà ai confini europei di rimanere aperti senza problemi.","Da bi se izognili ping-pong učinku uvoza in ponovnega uvoza okužb s SARS-CoV-2, je potrebno ukrepe in z njimi povezano zmanjšane števila primerov uskladiti v vseh evropskih državah, in to čim prej. Ta usklajenost bo evropskim mejam omogočila, da ostanejo odprte.","Aby uniknąć tzw. efektu jojo związanego z przywożeniem i ponownym przywożeniem wirusa SARS-CoV-2 z zagranicy, ograniczenie liczby zakażeń powinno zostać zsynchronizowane we wszystkich krajach europejskich i należy je osiągnąć jak najszybciej. Synchronizacja ta pozwoli na utrzymanie w Europie otwartych granic.","Afin d'éviter l'effet de ping-pong lié à l'importation et à la réimportation d'infections de SARS-Cov-2, la réduction devrait être synchronisée dans tous les pays européens et commencer dès que possible. Cette synchronisation permettra aux frontières européennes de rester ouvertes.",För att undvika en ping-pong-effekt av import och återimport av SARS-CoV-2-infektioner bör minskningen synkroniseras över alla europeiska länder och startas så snart som möjligt. Denna synkronisering gör att europeiska gränser kan hållas öppna.,"Om een pingpong-effect van het importeren en opnieuw importeren van SARS-CoV-2-infecties te voorkomen, moet de reductie worden gesynchroniseerd in alle Europese landen en moet deze reductie zo snel mogelijk beginnen. Door deze synchronisatie blijven de Europese grenzen open. ",SARS-CoV-2-tartuntojen leviämisen estämiseksi uudelleen tiettyyn maahan on tartuntojen vähentämiseen päästävä samanaikaisesti kaikkialla Euroopassa. Tämä on aloitettava mahdollisimman pian. Synkronoinnin ansiosta Euroopan rajat voidaan pitää avoinna.,"Kako bi se izbjegao ping-pong učinak importiranjem i re-importiranjem slučajeva zaraze virusom SARS-CoV-2, trebalo bi uskladiti mjere u svim europskim zemljama i započeti ih provoditi čim je moguće prije. Usklađenim djelovanjem europske granice će moći ostati otvorene."
21,Keep case numbers low.,Fallzahlen niedrig halten,Mantenere basso il numero dei casi.,Ohranjajmo majhno število primerov.,Utrzymanie niskiej liczby zakażeń. ,Maintenir le nombre de cas à un faible niveau.,Håll antalet sjukdomsfall nere.,Houd het aantal infecties laag. ,Pidetään tartuntamäärät alhaisina.,Održati mali broj slučajeva.
22,"At low case numbers, restrictions may be eased, but this should be carefully monitored. Targeted mitigation measures, such as mask wearing, hygiene, contact regulation and TTIS will be continued and improved.","Sobald die Fallzahlen niedrig sind, können die Beschränkungen – unter sorgfältiger Überwachung – gelockert werden. Eindämmungsmaßnahmen wie das Tragen von Masken, erhöhte Hygiene, moderate Kontaktreduzierung, Tests und Contact Tracing sollten fortgesetzt und verbessert werden.","Quando il numero di casi è basso, un allentamento delle restrizioni è possibile, ma deve essere attentamente monitorato. Bisogna continuare ad adottare, e migliorare, le misure di mitigazione mirate: indossare la mascherina, igiene, moderata riduzione dei contatti, test e tracciamento dei contatti.","Če je število primerov majhno, je mogoče ublažiti omejitve, vendar jih je potrebno tudi skrbno spremljati. Nadaljujmo in izboljšajmo ciljno usmerjene preventivne ukrepe, kot so nošenje mask, higiena, zmerno zmanjšanje stikov, testiranje in sledenje stikom.","Przy niskiej liczbie zakażeń można złagodzić obostrzenia, ale należy uważnie monitorować sytuację. Ukierunkowane środki łagodzące, takie jak noszenie maseczek, przestrzeganie zasad higieny, regulacje dotyczące kontaktów fizycznych oraz strategia polegająca na testowaniu, śledzeniu, izolowaniu i wspieraniu, będą kontynuowane i udoskonalane.","Lorsque le nombre de cas est faible, un assouplissement des restrictions est possible, mais il doit être surveillé de près. Poursuivre et améliorer les mesures d'atténuation ciblées, telles que le port de masque, l'hygiène, la réduction modérée des contacts, les tests et la recherche des contacts.","När antalet är lågt är det möjligt att reducera begränsande åtgärder men utvecklingen bör övervakas noggrant. Fortsätt och förbättra riktade mildrande åtgärder, såsom användning av skyddsmask, hygien, minskning av antalet kontakter, testning och kontaktspårning.","Als het aantal infecties laag is, is versoepeling van de beperkingen mogelijk, maar dit moet zorgvuldig worden gecontroleerd. Ga door met en verbeter de gerichte mitigerende maatregelen, zoals het dragen van maskers, hygiëne, matige contactvermindering, testen en contactopsporing. ","Tapausmäärien ollessa alhaiset, rajoitusten lieventäminen on mahdollista, mutta sitä on seurattava huolellisesti. Jatketaan ja parannetaan kohdennettuja torjuntatoimenpiteitä, kuten maskien käyttöä, käsihygieniaa, kohtuullista kontaktien välttämistä, testausta ja jäljittämistä.","Kada se postigne mali broj slučajeva, moguće je ublažiti restriktivne mjere, ali ih treba pažljivo nadzirati. Potrebno je nastaviti primjenjivati mjere za smanjenje rizika, kao što su nošenje maski, provođenje općih higijenskih mjera, izbjegavanje bliskih kontakata, testiranje i aktivno traženje oboljelih. "
23,"Even if case numbers are low, a strategy for surveillance testing (of at least 300 tests per million people per day) should be in place, covering the most important population groups at risk so that an increase in case numbers  can be detected in time.",Auch bei niedrigen Fallzahlen sollte es eine Überwachungsstrategie geben – mindestens 300 Tests pro Million EinwohnerInnen pro Tag. Damit kann ein Anstieg der Fallzahlen rechtzeitig erkannt werden.,"Anche se il numero di casi è basso, una campagna di test di sorveglianza (come minimo 300 test per milione di persone al giorno) deve essere sempre attiva, in modo che un aumento nel numero di casi possa essere rilevato tempestivamente.","Tudi če je število primerov majhno, bi morala obstajati strategija za nadzorno testiranje (najmanj 300 testov na milijon ljudi na dan), tako da bi lahko pravočasno zaznali povečanje števila primerov.","Nawet przy niskiej liczbie przypadków należy wprowadzić strategię testów kontrolnych (co najmniej 300 testów na milion osób dziennie) ukierunkowaną na najbardziej zagrożone grupy ludności, aby można było wystarczająco wcześnie wykryć wzrost liczby zakażeń.","Même si le nombre de cas est faible, une stratégie de tests de surveillance (au moins 300 tests par million de personnes par jour) doit être mise en place, afin qu'une augmentation du nombre de cas puisse être détectée à temps.",Även om antalet fall är lågt bör en strategi för övervakningstestning (åtminstone 300 tester per miljon människor per dag) vara på plats så att en ökning av antalet fall kan upptäckas i tid.,"Zelfs als het aantal gevallen laag is, zou er een strategie voor surveillancetests (ten minste 300 tests per miljoen mensen per dag) moeten zijn, zodat een toename van het aantal infecties op tijd kan worden gedetecteerd. ","Vaikka tapausten lukumäärä on alhainen, seulontatestauksen (vähintään 300 testiä miljoonaa ihmistä kohti päivässä) tulisi olla käytössä, jotta tartuntatapausten kasvu voidaan havaita ajoissa.","Čak i kada je broj slučajeva mali, treba provoditi nadzorno testiranje (najmanje 300 testova na milijun stanovnika dnevno) kako bi se na vrijeme uočio porast broja slučajeva."
24,"Local outbreaks require a rapid and rigorous response, including travel restrictions, targeted testing, and possibly regional lockdowns, to achieve a rapid reduction in prevalence.","Lokale Ausbrüche erfordern eine schnelle und rigorose Reaktion mit Reisebeschränkungen, gezielten Tests und möglicherweise regionalen Absperrungen, bis die Zielvorgabe wieder erreicht ist.","Focolai locali vanno affrontati con una risposta rapida e rigorosa, che comprende restrizioni di viaggio, test mirati, e se necessario lockdown regionali, così da ottenere una rapida riduzione della prevalenza.","Lokalni izbruhi zahtevajo hiter in strog odziv, vključno z omejitvami potovanja, usmerjenim testiranjem in po možnosti regionalnimi zaporami, da se doseže hitro zmanjšanje razširjenosti","Lokalne ogniska zakażeń wymagają szybkiej i zdecydowanej reakcji, w tym ograniczeń w podróżowaniu, ukierunkowanego testowania i potencjalnie lokalnego zamknięcia gospodarki, w celu szybkiego zmniejszenia liczby nowych zakażeń.","Les foyers locaux nécessitent une réponse rapide et rigoureuse, y compris des restrictions de voyage, des tests ciblés et éventuellement des confinements régionaux, pour parvenir à une réduction rapide de la prévalence.","Lokala utbrott kräver snabba och noggrant utformade åtgärder, inklusive reserestriktioner, målinriktad testning och eventuellt regionala nedstängningar för att uppnå en snabb minskning av antalet nya fall.","Lokale uitbraken vereisen een snelle en rigoureuze reactie, inclusief reisbeperkingen, gerichte tests en mogelijk regionale lockdowns, om een snelle vermindering van de prevalentie te bereiken.","Paikalliset tartuntaryppäät edellyttävät nopeaa ja tiukkaa toimintaa, mukaan lukien matkustusrajoitukset, kohdennettu testaus ja mahdolliset alueelliset sulut, jotta taudin esiintyvyys vähenisi nopeasti.","Povećani broj slučajeva bolesti na manjem području zahtijeva brz i strog odgovor, što uključuje restrikciju putovanja, ciljano testiranje i moguće regionalno zatvaranje, kako bi se na vrijeme postiglo smanjenje prevalencije."
25,Develop a longer-term common vision.,"Eine gemeinsame, langfristige Vision entwickeln",Sviluppare una visione comune di lungo termine. ,Razvijmo dolgoročno skupno vizijo. ,Wypracowanie długoterminowej wspólnej wizji. ,Développer une vision commune à plus long terme. ,Utveckla en långsiktig gemensam vision.,Ontwikkel een gemeenschappelijke visie voor de langere termijn. ,Kehitetään pitkän aikavälin yhteinen visio.,Razviti zajedničku dugoročnu viziju. 
26,"Develop context-sensitive regional and national action plans as well as European-level goals, depending on the COVID-19 prevalence. Develop strategies for elimination, screening, vaccination, protection of those at high risk, and support for those most affected by the COVID-19 pandemic ","Wichtig ist die Entwicklung von kontextabhängigen regionalen und nationalen Aktionsplänen, sowie von Zielen auf europäischer Ebene, abgestuft nach der Zahl der COVID-19-Fälle. Zudem bedarf es der Entwicklung von Strategien zum Screening, zu Impfungen, zur Eliminierung (sofern sie in Reichweite kommt), zum Schutz von Risikogruppen und zur Unterstützung derer, die am stärksten von der Pandemie betroffen sind ","Sviluppare piani di azione nazionali e regionali, ben attagliati al contesto locale, e obiettivi a livello europeo, adeguati a seconda della prevalenza di COVID-19. Elaborare strategie per l’eliminazione, il monitoraggio, la vaccinazione, la protezione delle persone ad alto rischio, e il supporto per i più colpiti dalla pandemia di COVID-19 ","Razvijmo regionalne in nacionalne akcijske načrte ter cilje na evropski ravni v odvisnosti od razširjenosti COVID-19. Oblikujmo strategije za izločanje, nadzorovanje, cepljenje, zaščito tveganih in podporo tistim, ki jih pandemija COVID-19 najbolj prizadene ","Należy opracować regionalne i krajowe plany działania uwzględniające specyfikę lokalną, a także wyznaczyć cele na poziomie europejskim w zależności od rozpowszechnienia COVID-19. Należy opracować strategie eliminacji, badań przesiewowych, szczepień, ochrony osób z grupy wysokiego ryzyka oraz wsparcia dla osób najbardziej dotkniętych pandemią COVID-19 ","Élaborer des plans d'action régionaux et nationaux adaptés au contexte ainsi que des objectifs au niveau européen, en fonction de la prévalence de la COVID-19. Élaborer des stratégies d'élimination, de dépistage, de vaccination, de protection des personnes à haut risque et de soutien aux personnes les plus touchées par la pandémie de COVID-19 ","Utveckla lokalt anpassade regionala och nationella handlingsplaner samt mål på europeisk nivå, beroende på prevalensen av COVID-19. Utarbeta strategier för eliminering, screening, vaccination, skydd av högrisk-personer och stöd för dem som drabbats mest av COVID-19-pandemin ","Ontwikkel contextgevoelige regionale en nationale actieplannen en doelstellingen op Europees niveau, afhankelijk van de prevalentie van COVID-19. Ontwikkel strategieën voor eliminatie, screening, vaccinatie, bescherming van mensen met een hoog risico en ondersteuning van degenen die het zwaarst zijn getroffen door de COVID-19-pandemie ","Kehitetään alueelliset ja kansalliset toimintasuunnitelmat sekä Euroopan tason tavoitteet COVID-19:n esiintyvyyden mukaan. Suunnitellaan strategiat eliminoimiseksi, seulomiseksi, rokottamiseksi, riskiryhmien suojelemiseksi ja niiden tueksi, jotka ovat kärsineet eniten COVID-19-pandemiasta ","Izraditi kontekstualne regionalne i nacionalne akcijske planove, kao i ciljeve na europskoj razini, ovisno o prevalenciji COVID-19. Osmisliti strategiju za eliminaciju, probir, cijepljenje, zaštitu visokorizičnih skupina i podršku onima koji su najviše pogođeni pandemijom COVID-19 "
27,It is crucial to clearly communicate the advantage of low SARS-CoV-2 incidence. ,"Es ist entscheidend, das Ziel und den Vorteil von niedrigen Fallzahlen klar zu kommunizieren, um die Mitwirkung der Öffentlichkeit zu sichern: ",Comunicare chiaramente l’obiettivo e il vantaggio di un numero basso di casi è cruciale per promuovere la cooperazione pubblica. ,Za pospeševanje javnega sodelovanja je bistvenega pomena jasno komunicirati cilj in prednosti majhnega števila primerov. ,"Istotne jest, aby w jasny sposób komunikować zalety niskiego współczynnika zachorowalności na COVID-19.",Il est essentiel de communiquer clairement l'objectif et l'avantage d'un faible nombre de cas afin de favoriser la coopération du public. ,Det är viktigt att tydligt kommunicera målet och fördelen med lågt antal infekterade för att främja ett bra samarbetsklimat i samhället. ,Het is van cruciaal belang om het doel en het voordeel van lage aantallen infecties duidelijk te communiceren om de publieke samenwerking te bevorderen. ,Alhaisen tartuntamäärän tavoitteesta ja hyödyistä koko yhteiskunnalle on viestittävä tehokkaasti. ,Da bi se pridobila suradnja javnosti ključno je obznaniti cilj i prednosti strategije za postizanje malog broja slučajeva. 
