Name;Affiliation;Country
Ranko Škrbić;Department of Pharmacology, Toxicology and Clinical Pharmacology, Faculty of Medicine, University of Banja Luka, Banja Luka; Bosnia and Herzegovina
Svetlana Atanasova Velizarova;"MHATLD ""St. Sofia"", Children department, Medical University - Sofia, Sofia"; Bulgaria
Nedyu Popivanov;Institute of Information and Communication Technologies, Bulgarian Academy of Sciences and Sofia University, Sofia; Bulgaria
Nataliya Nikolaeva Gabrovska;"MHATLD ""St. Sofia"", Children department, Medical University - Sofia, Sofia"; Bulgaria
Rok Čivljak;"University of Zagreb School of Medicine; “Dr. Fran Mihaljević” University Hospital for Infectious Diseases, Zagreb"; Croatia
Branko Kolarić;University of Rijeka, Rijeka; Croatia
Stipan Jonjić;Faculty of Medicine, University of Rijeka, Rijeka; Croatia
Francesco Sannino;Federico II Univ. of Napoli, Italy, Centre of Excellence for Particle Physics and Cosmology (CP3-Origins) at the University of Southern Denmark, and Danish Institute for Advanced Study; Denmark
Thea K Fischer;Northern Zealand Hospital and University of Copenhagen, Copenhagen; Denmark 
Kenn Konstabel;Department of Chronic Diseases, National Institute for Health Development, Tallinn; Estonia
Toomas Veidebaum;Research Director of Department of Chronic Diseases, National Institute for Health Development, Tallinn; Estonia
Kristi Rüütel;National Institute for Health Development, Tallinn; Estonia
Pirta Hotulainen;Minerva Institute for Medical Research, Helsinki; Finland
Jussi Kauhanen;Institute of Public Health and Clinical Nutrition, University of Eastern Finland, Kuopio; Finland
Jari A. Laukkanen;Institute of Public Health and Clinical Nutrition, University of Eastern Finland, Kuopio; Finland
Matti Heino;University of Helsinki, Helsinki; Finland
Ville Häkkinen;Helsinki University Hospital, Helsinki; Finland
Marjukka Myllärniemi;vice-dean of research of Medical Faculty, University of Helsinki, Helsinki; Finland
Heikki Patomäki;The Helsinki Centre for Global Political Economy, University of Helsinki, Helsinki; Finland
Olli Vapalahti;Departments of Virology and Veterinary Biosciences, University of Helsinki, Helsinki; Finland
Antti Ripatti;University of Helsinki, Helsinki GSE, Helsinki; Finland
Anna Rotkirch;Population Research Institute, Väestöliitto, Family Federation of Finland, Helsinki; Finland
Juho Kannala;Department of Computer Science, Aalto University, Aalto; Finland
Jari Siironen;Head of Neurointensive care, Neurosurgery, Helsinki University Hospital, Helsinki; Finland
Jukka Koskela;Helsinki University Central Hospital and Institute for Molecular Medicine Finland (FIMM) University of Helsinki, Helsinki; Finland
Tuomas Aivelo;Organismal and Evolutionary Biology research program, University of Helsinki, Helsinki; Finland
Delpierre Cyrille;UMR 1027, INSERM, Toulouse; France
Michaël Rochoy;médecin généraliste, Université de Lille, Lille; France
Olivier Saint-Lary;Family medicine University Versailles Saint Quentin en Yvelines (UVSQ), Scientific Council of the French National College of Teachers in General Practice (CNGE), Montigny le Bretonneux; France
Fabien Besançon;Maison médicale d'Egly, Egly; France
Brice Magdalou;Department of Economics, University of Montpellier, Montpellier; France
Guy-philippe Goldstein;Ecole de Guerre Economique, Paris; France
Karine Lacombe;"Infectious Diseases Department, ""Sorbonne Université, Hôpital St Antoine, APHP"", Paris"; France
Paul Frappé;Collège de la Médecine Générale / French College of General Practice, Paris; France
Cyrille Vartanian;Université de Nantes, Nantes; France
Jean-Michel Pawlotsky;"Virologist, Department of Virology, ""Henri Mondor University Hospital, Université Paris-Est & INSERM U955"", Créteil"; France
Michelle Kelly-Irving;Inserm-University Toulouse III Paul Sabatier; France
Dominique Costagliola;Institut Pierre Louis d'Epidémiologie et de Santé Publique, INSERM and Sorbonne Université, Paris; France
Alena Buyx;Technical University Munich, Munich; Germany
Marcus Panning;Medical Center – University of Freiburg, Freiburg; Germany
Tobias Niedermaier;German Cancer Research Center, Heidelberg; Germany
Armin Nassehi;Institute of Sociology, Ludwig-Maximilians-University of Munich, Munich; Germany
Dirk Brockmann;Dept. of Biology, Humboldt University of Berlin and Robert Koch - Institute, Berlin; Germany
Ruth Müller;Munich Center for Technology in Society, Technical University of Munich; Germany
Annabel Mueller-Stierlin;Ulm University, Günzburg; Germany
Rafael Mikolajczyk;Institute of Medical Epidemiology, Biometrics and Informatics, Medical Faculty of the Martin Luther University, Halle; Germany
Michael Meyer-Hermann;Department of Systems Immunology  and Braunschweig Integrated Centre of Systems Biology, Helmholtz Centre for Infection Research, Braunschweig; Germany
Dirk Heinz;Scientific director  of Helmholtz Centre for Infection Research, Braunschweig; Germany
Joerg J Meerpohl;Institute for Evidence in Medicine, University of Freiburg, Freiburg; Germany
Hartmut Hengel;Microbiology, Virology and Infection Prevention, Universitätsklinikum Freiburg, Freiburg; Germany
Jutta Mata;Health Psychology, University of Mannheim; Germany
Stephan Herminghaus;Dynamics of Complex Fluids, MPI for Dynamics and Self-Organization, Göttingen; Germany
Manfred Herrmann;Dept. of Human and Health Sciences, Universität Bremen, Bremen; Germany
Berit Lange;Helmholtz Centre for Infection Research, Braunschweig; Germany
Veronika Jäger;Institute of Epidemiology and Social Medicine, University of Münster; Germany
Ralf Krumkamp;Bernhard Nocht Institute for Tropical Medicine, Hamburg; Germany
Heyo Kroemer;Chief Executive Officer of Charité – Berlin University of Medicine, Berlin; Germany
Hajo Zeeb;Leibniz Institute for Prevention Research and Epidemiology - BIPS, Bremen; Germany
Malte Kohns Vasconcelos;Institute for Medical Microbiology and Hospital Hygiene, Heinrich Heine University Düsseldorf, Düsseldorf; Germany
Reinhard Busse;"co-director, European Observatory on Health Systems and Policies; Professor and Head of the Department of Health Care Management, Technische Universität Berlin"; Germany
Michael M. Kochen;Emeritus Professor of General Practice (University of Goettingen), Institute of General Practice, University of Freiburg, Baden-Württemberg - Freiburg; Germany
Stefan Kluge;Department of Intensive Care, University Medical Center Hamburg-Eppendorf; Germany
Thomas Kubiak;Johannes Gutenberg University, Mainz; Germany
Thomas Pietschman;Institute of Experimental Virology, Twincore Centre for Experimental and Clinical Infection Research, Hannover; Germany
Andreas Peichl;ifo Institute – Leibniz Institute for Economic Research at the University of Munich, Munich; Germany
Christiane Woopen;Cologne Center for Ethics, Rights, Economics, and Social Sciences of Health (CERES), University of Cologne, Cologne; Germany
Marvin N. Wright;Leibniz Institute for Prevention Research and Epidemiology - BIPS, Bremen; Germany
Wolfgang Ahrens;Epidemiological Methods and Etiological Research, Leibniz-Institute for Prevention Research and Epidemiology - BIPS and University of Bremen, Bremen; Germany
Lothar Wieler;President of the Robert Koch - Institute, Berlin; Germany
Michael Wibral;Campus Institute Dynamics of Biological Networks, Georg-August University, Göttingen; Germany
Friedemann Weber;Justus Liebig University Giessen, Institute for Virology, FB10 Veterinary Medicine, Giessen; Germany
Peter Walger;German Society of Hospital Hygiene, Berlin - Bonn; Germany
Thomas Altenhöner;Faculty of Social Sciences, FH Bielefeld University of Applied Sciences, Bielefeld; Germany
Christian Apfelbacher;Institute of Social Medicine and Health Systems Research, Otto von Guericke University Magdeburg, Magdeburg; Germany
Jörg Timm;University Hospital Düsseldorf, Heinrich-Heine-University, Institute of Virology, Düsseldorf; Germany
Tariq Baig-Meininghaus;Max Planck Institute for Dynamics and Self-Organization, Göttingen; Germany
Markus Scholz;Institute for Medical Informatics, Statistics and Epidemiology, University of Leipzig, Leipzig; Germany
Anita Schöbel;TU Kaiserslautern und Fraunhofer Institut für Techno- und Wirtschaftsmathematik, Kaiserslautern; Germany
Melanie Brinkmann;Technische Universität Braunschweig, Helmholtz Zentrum für Infektionsforschung, Braunschweig; Germany
Diana Strüver;MPI für Dynamik und Selbstorganisation; Germany
Puneet Sharma;DCF, Max Planck Institute for Dynamics and Self Organization, Goettingen; Germany
Ralf Bartenschlager;Department of Infectious Diseases, Molecular Virology, Heidelberg University, Heidelberg; Germany
Matthias F. Schneider;Department of Physics, Medical and Biological Physics, Technical University of Dortmund; Germany
Alexander Schmidt;Max Planck Institute for Dynamics and Self-Organization, Max-Planck Institute of Experimental Medicine and Campus Institute for Dynamics of Biological Networks, Göttingen; Germany
Markus Beier;General Practitioner and Chairman, Bavarian General Practitioner Organisation (BHÄV); Germany
Dietrich Rothenbacher;Institute of Epidemiology and Medical Biometry, Ulm University, Ulm; Germany
Wolfgang Bock;TU Kaiserslautern, Kaiserslautern; Germany
Eberhard Bodenschatz;LFPB, Max Planck institute for Dynamics and Self-Organisation, Goettingen; Germany
Prashanth Ramesh;Max Planck Institute for Dynamics and Self-Organization; Germany
Viola Priesemann;Max Planck Institute for Dynamics and Self-Organization, Göttingen; Germany
Panu Poutvaara;Ludwig-Maximilians-University of Munich and ifo Institute – Leibniz Institute for Economic Research at the University of Munich, Munich; Germany
Iris Pigeot;Leibniz Institute for Prevention Research and Epidemiology - BIPS, Bremen; Germany
Knut Heidemann;Max Planck Institute for Dynamics and Self-Organization, Göttingen; Germany
Thomas Stamminger;Ulm University Medical Center, Institute of Virology, Ulm; Germany
Gerald Haug;President of the German Academy of Sciences Leopoldina – National Academy of Sciences, Halle; Germany
Thomas Mertens;Chairman of STIKO, Institute of Virology, Ulm; Germany
Johanna Hanefeld;"Department of Global Health and Development; London School of Hygiene and Tropical Medicine, London, UK, and Centre International Health Protection, Robert Koch - Institute, Berlin"; Germany
Sandra Ciesek;University Hospital, Goethe-University Frankfurt, Frankfurt; Germany
Christine S Falk;Hannover Medical School, Institute of Transplant Immunology, Hannover; Germany
Hans-Martin von Gaudecker;University of Bonn and Institute of Labor Economics (IZA), Bonn; Germany
Jürgen Graf;Medical Director, University Hospital Frankfurt; Germany
Eva Grill;Institute for Medical Information Processing, Biometry and Epidemiology Ludwig-Maximilians-Universität München, München; Germany
Claudius Gros;Institute for Theoretical Physics, Goethe University Frankfurt; Germany
Luka Čičin-Šain;Helmholtz Zentrum für Infektionsforschung, Braunschweig; Germany
Christian Drosten;Institute of Virology, Charité – Berlin University of Medicine, Berlin; Germany
Alexandros A. Fragkopoulos;Department of Complex Fluids, Max Planck Institute for Dynamics and Self-Organization, Goettingen; Germany
Clemens Fuest;President of the Ifo Institute for Economic Research, Munich; Germany
Marcus Dörr;University Medicine Greifswald, Greifswald; Germany
Lars Dölken;Institute for Virology and Immunology, Julius-Maximilians-University of Würzburg, Würzburg; Germany
Ulf Dittmer;University Clinic Essen, Essen; Germany
Florian Englmaier;Department of Economics, Ludwig-Maximilians-University of Munich, Munich; Germany
Jörg Danzer;boden & grundwasser Allgäu GmbH, Sonthofen; Germany
Adam Grundhoff;Heinrich Pette Institute, Leibniz Institute for Experimental Virology, Hamburg; Germany
Nicole Fischer;University Medical Center Hamburg-Eppendorf, Hamburg; Germany
Jochen Guck;Max-Planck-Zentrum für Physik und Medizin, Erlangen; Germany
Sebastian Contreras;Max Planck Institute for Dynamics and Self-Organization, Göttingen; Germany
Wencke Gwozdz;Department of Consumer research, communication and nutrition sociology, Justus-Liebig-University, Gießen; Germany
Ivan Đikić;University Hospital, Goethe University Frankfurt, Frankfurt; Germany
Christian Münch;University Hospital, Goethe University Frankfurt, Frankfurt; Germany  Germany
Martin Exner;University Hospital Bonn, Institute of Hygiene and Public Health, Bonn; Germany 
Christos Lionis;Clinic of Social and Family Medicine, Faculty of Medicine, University of Crete; Greece
Emmanuel Roilides;3rd Department of Pediatrics, Aristotle University School of Health Sciences, Hippokration General Hospital, Thessaloniki; Greece
Karl Friston;"Wellcome Principal Research Fellow and Scientific Director, Wellcome Trust Centre for Neuroimaging; Institute of Neurology, University College London, UK"; Honorary Consultant: The National Hospital for Neurology and Neurosurgery
Julien Mercille;University College Dublin, Dublin; Ireland
Claire Buckley;Public Health Medicine, Health Service Executive; Ireland
Ivan J Perry;Dean of School of Public Health, University College Cork; Ireland
Tomás Ryan;School of Biochemistry and Immunology and Trinity College Institute of Neuroscience, Trinity College Dublin; Ireland
Federico Fabbrini;School of Law & Government and Director of Brexit Institute, Dublin City University; Ireland
Patricia Kearney;School of Public Health, University College Cork, Cork; Ireland
Edgar Morgenroth;Business School, Dublin City University, Dublin; Ireland
Enrique Garcia Bengoechea;University of Limerick, Limerick; Ireland
Nessa Cronin;Centre for Irish Studies and Moore Institute, NUI Galway; Ireland
Anthony Staines;School of Nursing, Psychotherapy and Community Health, Dublin City University. Dublin; Ireland
Philipp Hövel;School of Mathematical Sciences, University College Cork; Ireland
Micheal O’Riordain;Department of Surgery, Mercy University Hospital & University College Cork; Ireland
Cliodhna Ni Bhuachalla;School of Public Health, University College Cork; Ireland
Alfonso Siani;Institute of Food Sciences, CNR, Avellino; Italia
Paola Russo;Institute of Food Sciences, CNR, Avellino; Italia
Licia Iacoviello ;Department of Medicine and Surgery, University of Insubria, Varese; Italia
Raffaele Bruno;Department of Clinical, Surgical, Diagnostic, and Paediatric Sciences, University of Pavia and Division of Infectious Diseases I, Fondazione IRCCS Policlinico San Matteo, Pavia; Italy
Giulia Giordano;University of Trento, Trento; Italy
Pasquale Comberiati;Department of Clinical and Experimental Medicine, Pediatric Section, University of Pisa, Pisa; Italy
Walter Ricciardi;Università Cattolica del Sacro Cuore, Rome; Italy
Paolo Giudici;Professor of Statistics and coordinator of the European PERISCOPE project, University of Pavia, Pavia; Italy
Fausto Baldanti;Department of Clinical, Surgical, Diagnostic and Pediatric Sciences, University of Pavia, Molecular Virology Unit, IRCCS Policlinico San Matteo, Pavia; Italy
Nicola Petrosillo;National Institute for Infectious Diseases “L. Spallanzani” IRCCS, Rome; Italy
Danilo Buonsenso;Department of Woman and Child Health and Public Health, Fondazione Policlinico Universitario A. Gemelli IRCCS, Rome; Italy
Nicola Latronico;Department of Anesthesia, Critical Care and Emergency, Spedali Civili University Hospital and University of Brescia, Brescia; Italy
Fabio Lauria;Institute of Food Sciences, National Research Council, Avellino; Italy
Uga Dumpis;University of Latvia, Riga; Latvia
Vytautas Usonis;"""Paediatrician, paediatric infectious diseases"", Clinic of Children Diseases, Vilnius University, Vilnius"; Lithuania
Guy Berchem;Medical Oncology, Medical director, Luxembourg Institute of Health, Luxembourg; Luxembourg
Isabel de la Fuente;Centre Hospitalier Luxembourg ; Luxembourg
Barbara Klink;National Center of Genetics, Laboratoire national de santé (LNS), Dudelange; Luxembourg
Jorge Goncalves;Luxembourg Centre for Systems Biomedicine, University of Luxembourg; Luxembourg
Paul Wilmes;Luxembourg Centre for Systems Biomedicine & Department of Life Sciences and Medicine, Faculty of Science, Technology and Medicine, University of Luxembourg; Luxembourg
Rudi Balling;Director LCSB, University of Luxembourg; Luxembourg
Reinhard Schneider;Bioinformatics, Bioinformatics core facility, LCSB Belval; Luxembourg
Alexander Skupin;Systems Biology, Luxembourg Institute for Systems Biomedicine, University of Luxembourg, Belval; Luxembourg
Conchita D'Ambrosio;Department of Behavioural and Cognitive Sciences, University of Luxembourg; Luxembourg
Enrico Glaab;Luxembourg Centre for Systems Biomedicine, University of Luxembourg, Belval; Luxembourg
Julian Mamo;Faculty of Medicine and Surgery, University of Malta, Msida; Malta
Neville Calleja;Faculty of Medicine & Surgery, University of Malta; Malta
Victor Grech;Faculty of Medicine & Surgery, University of Malta, Msida; Malta
Elena Felice;University of Malta, Msida; Malta
Simon Attard Montalto;Faculty of Medicine & Surgery, University of Malta, Msida; Malta
Sarah Cuschieri;Faculty of Medicine & Surgery, University of Malta, Msida; Malta
Ethel Felice;Faculty of Medicine & Surgery, University of Malta, Msida; Malta
Alex W. Friedrich;Medical Microbiology and Infection Prevention, University Medical Center Groningen, Groningen; Netherlands
Andrzej Rychard;Institute of Philosophy and Sociology, PAS, Warsaw; Poland
Małgorzata Kossowska;Institute of Psychology, Jagiellonian University, Krakow; Poland
Krzysztof Pyrc;Malopolska Centre of Biotechnology, Jagiellonian University, Krakow; Poland
Anna Gambin;Faculty of Mathematics, Informatics and Mechanics, University of Warsaw, Warsaw; Poland
Edyta Łuszczki;Institute of Health Sciences, Medical College of Rzeszów University, Rzeszów; Poland
Magdalena Rosińska;Department of Infectious Disease Epidemiology and Surveillance, National Institute of Public Health- National Institute of Hygiene, Warsaw; Poland
Jerzy Duszynski;President of the Polish Academy of Sciences and Nencki Institute of Experimental Biology, PAS, Warsaw; Poland
Tyll Krueger;Faculty of Electronics, Wrocław University of Science and Technology and MOCOS research group, Wrocław; Poland
Ewa Szczurek;Faculty of Mathematics, Informatics and Mechanics, University of Warsaw, Warsaw; Poland
Paulo Paixão;Nova Medical School, Lisbon; Portugal
Manuel Carmo Gomes;Faculdade de Ciências da Universidade de Lisboa, Lisbon; Portugal
Ganna Rozhnova;University Medical Center Utrecht, Utrecht, The Netherlands and BioISI—Biosystems & Integrative Sciences Institute, Faculdade de Ciências, Universidade de Lisboa, Lisboa; Portugal
Ana Maria Ribeiro Ferreira Nunes;Faculdade de Ciencias, Universidade de Lisboa, Lisbon; Portugal
Gerry Killeen;University College Cork; Republic of Ireland
Marian-Gabriel Hâncean;University of Bucharest, Bucharest; Romania
Mihaela Lupse;Infectious Diseases Department, University of Medicine and Pharmacy Cluj-Napoca; Romania
Daniel Munblit;Department of Paediatrics and Paediatric Infectious Diseases, Institute of Child’s Health, Sechenov First Moscow State Medical University (Sechenov University), Moscow; Russia
Josip Car;Department of Primary Care and Public Health, School of Public Health, Imperial College London, London, UK and Lee Kong Chian School of Medicine, NTU Singapore; Singapore
Helena Legido-Quigley;London School of Hygiene and Tropical Medicine, London the UK and Saw Swee Hock School of Public Health, National University of Singapore; Singapore
Oliver Bajt;National institute of Biology, Ljubljana; Slovenia
Andraž Stožer;Institute of Physiology, Faculty of Medicine, University of Maribor, Maribor; Slovenia
Robert Repnik;Director of Slovenian Research Agency, Ljubljana; Slovenia
Martin Vodopivec;Marine Biology Station, National Institute of Biology, Ljubljana; Slovenia
Maja Ravnikar;Department of Biotechnology and Systems Biology, National Institute of Biology Ljubljana; Slovenia
Ludvik Toplak;President of Alma Mater Europaea, Maribor; Slovenia
Mitja Slavinec;Dean of Faculty of Natural Sciences and Mathematics, University of Maribor, Maribor; Slovenia
Boštjan Zalar;Director of Institut Jožef Stefan, Ljubljana; Slovenia
Gregor Anderluh;Director of National institute of Chemistry, Ljubljana; Slovenia
Vojko Flis;Director of Maribor University Medical Centre, Maribor; Slovenia
Iztok Takač;Dean of Faculty of Medicine, University of Maribor, Maribor; Slovenia
Igor Emri;Faculty of Mechanical Engineering, University of Ljubljana, Ljubljana; Slovenia
Boris Petelin;Marine Biology Station Piran, National Institute of Biology, Piran; Slovenia
Janez Zibert;Faculty of Health Sciences, University of Ljubljana; Slovenia
Igor Papič;Rector of University of Ljubljana, Ljubljana; Slovenia
Alenka Malej;retired marine biologist, Koper; Slovenia
Klavdija Kutnar;Rector of University of Primorska, Koper; Slovenia
Anton Brancelj ;EKOS, National Institute of Biology, Ljubljana; Slovenia
Matjaž Kuntner;Director of National Institute of Biology, Ljubljana; Slovenia
Nina Gorišek Miksić;University Medical Centre Maribor, Maribor; Slovenia
Klemen Čandek;Department of Organisms and Ecosystems Research, National Institute of Biology, Ljubljana; Slovenia
Zdravko Kačič;Rector of University of Maribor, Maribor; Slovenia
Janja Francé;Marine Biology Station Piran, National Institute of Biology, Piran; Slovenia
Matjaž Perc;University of Maribor, Maribor; Slovenia
Roman Jerala;National institute of chemistry, Ljubljana; Slovenia
Zdenka Čebašek-Travnik;President of Medical chamber of Slovenia, Ljubljana; Slovenia
Marko Petek;Department of Biotechnology and Systems Biology, National Institute of Biology, Ljubljana; Slovenia
Mojca Milavec;Department of Biotechnology and Systems Biology, National Institute of Biology, Ljubljana; Slovenija
Ernesto Estrada;University of Zaragoza, Zaragoza; Spain
Alex Arenas;Department of Computer Science and Mathematics, Universitat Rovira i Virgili, Tarragona; Spain
Covadonga Alonso;INIA CSIC, Madrid; Spain
Miguel Almunia;Colegio Universitario de Estudios Financieros (CUNEF), Madrid; Spain
Jose M Martin-Moreno;Preventive Medicine and Public Health, University of Valencia; Spain
Iris Iglesia Altaba;Growth, Exercise, Nutrition and Development Research group, Instituto de Investigación Sanitaria de Aragón, Zaragoza; Spain
Javier Buesa;Faculty of Medicine, University of Valencia, Valencia; Spain
Marcus Carlsson;Centre for the Mathematical Sciences, Lund University; Sweden
Tove Fall;Uppsala University, Uppsala; Sweden
Lars Calmfors;Institute for International Economic Studies, Stockholm University and Research Institute for Industrial Economics; Sweden
Nele Brusselaers;"Global Health Institute, Antwerp University, Belgium; Karolinska Institutet"; Sweden
Joacim Rocklöv;Department of Public Health and Clinical Medicine, Section of Sustainable Health, Umeå University, Umeå; Sweden
Irene Tosetti;LSHTM and FMH, Vésenaz; Switzerland
Matthias Egger; Institute of Social and Preventive Medicine, University of Bern, Bern; Switzerland
Emma B Hodcroft;Institute of Social and Preventive Medicine, University of Bern, Bern; Switzerland
Christian L. Althaus;Institute of Social and Preventive Medicine, University of Bern, Bern; Switzerland
Jacques Fellay;"Groupe Fellay, EPFL; Head of Precision Medicine at the University Hospital (CHUV) in Lausanne"; Switzerland
Volker Thiel;Vetsuisse Faculty, University of Bern, and Institute of Virology and Immunology, Bern; Switzerland
Isabella Eckerle;University Hospitals Geneva & University of Geneva; Switzerland
Meena Nathan Cherian;Geneva Foundation for Medical Education and Research, Versoix; Switzerland
Heinrich H. Nax;University of Zurich, Zurich; Switzerland
Wim van Saarloos;Department of Physics, Instituut-Lorentz, Leiden; The Netherlands
Quirine ten Bosch;Wageningen University; The Netherlands
Bert Slagter;Complexity & uncertainty, Dutch RedTeam; The Netherlands
Peter Slagter;Data analyst, Dutch RedTeam; The Netherlands
Jeroen Lakerveld;Department of Epidemiology and Data Science, Amsterdam UMC, Amsterdam; The Netherlands
Mirjam Kretzschmar;University Medical Center Utrecht, Utrecht; The Netherlands
Martin Bootsma;University Medical Center Utrecht, Utrecht; The Netherlands
Mariet Feltkamp;Leiden University Medical Center, Leiden; The Netherlands
Debabrata Panja;Department of Information and Computing Science, Utrecht University, Utrecht; The Netherlands
N.H.Chavannes;LUMC Leiden University Medical Centre, Leiden; The Netherlands
Detlef Lohse;Physics of Fluids, University of Twente; The Netherlands
Bert Niesters;University Medical Centre Groningen, Groningen; The Netherlands
Elena Petelos;Clinic of Social and Family Medicine, Faculty of Medicine, University of Crete, Greece, and Maastricht University; The Netherlands
Matthias Wibral;School of Business and Economics, Maastricht University; The Netherlands
Denny Borsboom;Department of Psychology, University of Amsterdam, Amsterdam; The Netherlands
Arnold Bosman;Public Health Response Expert, Houten (Utrecht); The Netherlands
Wim Schellekens;former Chief Inspector, Dutch Healthcare Inspectorate and Dutch RedTeam; The Netherlands
Janneke van de Wijgert;Julius Center of Health Sciences and Primary Care, Utrecht; The Netherlands
Mariette Knaap;Copernicus Institute for Sustainable Development, Utrecht University, Utrecht; The Netherlands
Saskia S L Mol;Julius center for Health sciences and primary care, Utrecht University Medical centre, Utrecht; The Netherlands
Mart C.M. de Jong;Quantitative Veterinary Epidemiology , WageningenUR, Wageningen; The Netherlands
Athina Pyrpasopoulou;2nd Propedeutic Dept of Internal Medicine, Hippokration General Hospital; Thessaloniki Greece
Hakan Leblebicioğlu;Samsun VM Medicalpark Hospital, Samsun; Turkey
Barbara Prainsack;Department of Political Science, University of Vienna Austria, and Department of Global Health & Social Medicine, King’s College London; UK
Debby Bogaert;University of Edinburgh, Edinburgh; UK
Robert West;Behavioural Science and Health, University College London, London; UK
Timothy SC Hinks;Respiratory immunology, Nuffield Department of Medicine, University of Oxford, Oxford; UK
Deepti Gurdasani;Queen Mary University of London, London; UK
Dominic Pimenta;Chairman of the Healthcare Workers Foundation (reg charity 1189737); UK
Jim Wilson;University of Edinburgh, Edinburgh; UK
Kit Yates;Co-Director of the Centre for Mathematical Biology, University of Bath, and IndieSAGE; UK
David A. Cameron;University of Edinburgh Cancer Centre, IGMM, Edinburgh; UK
Thomas Czypionka;Institute for Advanced Studies, Vienna, Austria and London School of Economics, London; UK
Helen Dolk;Ulster University, Coleraine; UK
Christina Pagel;Director of the Clinical Operational Research Unit at UCL and member of Independent SAGE; UK
John Drury;Director of Research and Knowledge Exchange in the School of Psychology, University of Sussex, SPI-B advisory sub-group of SAGE, Independent SAGE; UK
Trish Greenhalgh;Primary Care Health Sciences, University of Oxford; UK
Jeremy S. Rossman;School of Biosciences, University of Kent; UK
Sebastian Funk;London School of Hygiene & Tropical Medicine, London; UK
Alekszej Morgunov;Department of Chemistry, University of Cambridge, Cambridge; UK
Sarah Rasmussen;University of Cambridge, Cambridge; UK
Richard Russel;Respiratory Medicine, Nuffield Department of Medicine, University Of Oxford, Oxford; UK
Susan Michie;Professor of Health Psychology, University College London and Independent SAGE; UK
Tim Colbourn;UCL Institute for Global Health, London; UK
Naveed Sattar;University of Glasgow, Glasgow; UK
Martin McKee;London School of Hygiene & Tropical Medicine, London; UK
Daan Frenkel;Molecular Simulation, Department of Chemistry, University of Cambridge, Cambridge; UK
