Field;English;German
11;The control of the spread is much more effective at low case numbers. Testing and tracing capacities are limited: only with sufficiently low case numbers can the test-trace-isolate-support strategy (TTIS) quickly and efficiently help mitigating the spread and break infection chains. Hence, milder and more targeted physical distancing measures are sufficient, and schools and businesses can stay open.    ;"Die Kontrolle über das Virus ist bei niedrigen Fallzahlen viel effektiver. Denn die Test- und Rückverfolgungskapazitäten sind begrenzt. Nur bei ausreichend geringen Fallzahlen kann die Test-Trace-Isolate-Strategie (Testen, Nachverfolgen, Isolieren) effizient die Ausbreitung verringern, können Infektionsketten unterbrochen werden. Insgesamt sind dann weniger Maßnahmen zur sozialen Distanzierung erforderlich; Schulen und Unternehmen können geöffnet bleiben. "
12;Aiming for naturally acquired population immunity is not an option. We already have significant excess mortality and a heavy burden in terms of morbidity and mortality. Additionally, there is probably no long-term immunity. So much suffering for a completely uncertain result is ethically inacceptable.;Die notwendige Herdenimmunität in der Bevölkerung auf natürlichem Weg durch Infektionen zu erreichen, ist keine Alternative. Wir haben schon jetzt eine deutliche Übersterblichkeit und eine hohe Belastung durch Krankheits- und Todesfälle. Gleichzeitig gibt es wahrscheinlich keine langfristige Immunität. So viel Leid für ein völlig ungesichertes Resultat ist ethisch nicht vertretbar.
13;Planning is possible. When case numbers are low, there is no need for rapid policy changes. This reduces the economic damage and the uncertainty and strain on mental health. ;Niedrige Fallzahlen ermöglichen Planung. Schnelle Richtlinienänderungen sind dann nicht mehr erforderlich. Mehr Sicherheit verringert wirtschaftliche Schäden und bei jedem einzelnen die Belastung der psychischen Gesundheit. 
14;Simulations have shown that there is a so-called tipping point at which the virus takes over. We often see such points in science. In the case of the virus, the testing capacities and the capacities of health offices are important criteria. Getting back to the football metaphor - at high case numbers, we are merely following the ball in our own penalty area instead of keeping it clear. The aim has to be not to even lose the ball to the opponent because running after the opponent costs too much strength and ressources. It is better to keep control of the ball. Thus, it holds: The earlier we act, the better it is.;Simulationsrechnungen haben gezeigt, dass es einen sogenannten Kipppunkt gibt, an dem das Virus die Überhand gewinnt. Solchen Punkten begegnen wir in der Wissenschaft immer wieder. Im Falle des Virus sind die Kapazitäten der Tests und  der Gesundheitsämter ein wichtiges Kriterium. Bei zu hohen Fallzahlen rennen wir dem Geschehen, um auf die Fußball-Metapher zurückzukommen, im eigenen Strafraum nur noch hinterher anstatt ihn sauber zu halten. Das Ziel muss sein, den Ball erst gar nicht an den Gegner zu verlieren. Denn hinterher zu sprinten, kostet zu viel Kraft und Ressourcen. Besser ist es, die Kontrolle über den Ball zu behalten. Daher gilt: Je früher wir handeln, desto besser ist es.
15;To regain control of the infections and to keep it, we propose a strategy with four core elements:;Um diese Kontrolle über das Infektionsgeschehen wieder zu erlangen und dann auch zu behalten, schlagen wir eine Strategie mit folgenden vier Kernelementen vor:
16;Drastic reduction of the number of new infections. For this purpose, the target should be to have no more than 10 new COVID-19 cases per million people per day. This target has been reached in many countries after the first wave in spring. It can be reached again. Strong and consistent interventions have proven efficient. The economy suffers significantly less from consistent but thereby short interventions than from less efficient and thereby longer ones.;Drastische Senkung der Zahl der Neuinfektionen: Dabei sollte das Ziel bei einer Wocheninzidenz von etwa 10 Neuinfektionen je 100.000 Einwohner liegen, am besten darunter. Dieses Ziel wurde in vielen Ländern nach der ersten Welle im Frühjahr erreicht, es kann wieder erreicht werden. Dabei haben sich starke und konsequente Interventionen als effizient erwiesen. Die Wirtschaft leidet unter konsequenten, aber dafür kurzen Interventionen deutlich geringer als unter weniger effizienten und dann länger andauernden. 
17;Stability: Keep new infections on a constant low level. When case numbers are low, easing of restrictions is possible. They should be carefully monitored, though. Targeted mitigation measures still have to be continued, such as mask wearing, hygiene, moderate contact reduction, testing, and contact tracing. Local outbreaks require a rapid and rigorous response, including travel restrictions and targeted testing to prevent exportation to stable regions.;Stabilität: Zahl der Neuinfektionen auf konstant niedrigem Niveau halten. Wenn die Fallzahlen niedrig sind, können die Beschränkungen gelockert werden. Das Lockern muss jedoch sorgfältig überwacht werden. Gezielte Präventionsmaßnahmen müssen weiterhin eingehalten werden, also die erweiterten AHA+L Regeln sowie das Testen, die Kontaktrückverfolgung, Isolation und Quarantäne. Lokale Ausbrüche erfordern eine schnelle und konsequente Eindämmung, einschließlich lokaler Reisebeschränkungen und gezielter Tests, um ein Überspringen auf die stabilen Regionen zu vermeiden.
18;Coordinated and consistent strategy in Europe: To avoid a ping-pong effect of importing and reimporting SARS-CoV-2 infections, the reduction should be synchronized across all European countries and start as soon as possible. This synchronization will allow European borders to stay open.;Koordinierte und einheitliche Strategie in Europa: Um einen Ping-Pong-Effekt der Ein- und Wiedereinfuhr von Sars-CoV-2 Infektionen zu vermeiden, muss die Senkung der Neuinfiziertenzahlen in allen europäischen Ländern synchronisiert werden, und sie sollte so bald wie möglich beginnen. Diese Synchronisation wird es ermöglichen, die europäischen Grenzen offen zu halten.
19;Develop a longer-term common vision. Develop context-sensitive regional and national action plans as well as European-level goals, depending on the COVID-19 prevalence, with a special focus on test-trace-isolate-strategy, prevention measures and vaccination strategies.;Entwicklung einer langfristigen Strategie: Die Länder Europas müssen nationale und europäische Aktionspläne in Abhängigkeit von der Anzahl der Infektionsfälle entwickeln, mit besonderem Fokus auf eine Test-Trace-Isolate-Strategie, Präventionsvorkehrungen und Impfstrategien.
20;Reaching this low-incidence-strategy will take a lot from people in Europe. But it is worth it. It is much easier to stabilise the number of cases at 10 per million people per day than at 35 to 50.;Diese Niedriginzidenz-Strategie zu erreichen, verlangt den Menschen in Europa einiges ab. Aber es lohnt sich. Es ist viel einfacher, die Fallzahlen bei etwa 10 je 100.000 pro Woche zu stabilisieren als bei 35 oder 50. 
21;In order to reach these goals, we need communication which clearly underlines the social and economical benefits for everyone. We will not persuade those who want to believe in a comprehensive conspiracy of politics, economy, science and media. But we have to make our insights, our arguments and our conclusions so easy to understand that as many people as possible are willing to see themselves as part of the team. ;Um die Ziele zu erreichen, brauchen wir eine Kommunikation, die die sozialen und wirtschaftlichen Vorteile für alle klar herausstellt. Jene, die an eine umfassende Verschwörung aus Politik, Wirtschaft, Wissenschaft und Medien glauben wollen, werden wir nicht überzeugen. Aber wir müssen unsere Erkenntnisse, unsere Argumente und unsere Schlussfolgerungen so nachvollziehbar erläutern, dass möglichst viele Menschen bereit sind, sich als Teil des Teams zu sehen und mitzuspielen. 
22;A part of this is also that the restrictions of our rights and freedom have a clear deadline. We are all longing for the final whistle. Looking to the future with hope, control of Sars-CoV-2 will become easier: testing methods will be expanded, contact tracing will be made more efficient through digital capabilities, vaccination will provide for increasing immunization of the population, and better understanding will be achieved through more education, information, and explanation, even for lay people.;Dazu gehört auch, dass die Einschränkungen unserer Rechte und Freiheiten klar mit einem Enddatum versehen sind. Wir alle sehnen den Schlusspfiff herbei. Mit hoffnungsvollem Blick in die Zukunft wird die Kontrolle von Sars-CoV-2 leichter: Testmethoden werden erweitert, die Kontaktnachverfolgung durch digitale Möglichkeiten effizienter gestaltet, die Impfung wird für eine zunehmende Immunisierung der Bevölkerung sorgen, und durch mehr Aufklärung, Information und Erklärung auch für Laien wird ein besseres Verständnis erreicht.
23;So what does this mean for the upcoming holiday season? So far, the Christmas season has been described as a pandemic horror scenario, since it is considered a major risk. But it is actually an opportunity, a chance to bring infection numbers down to low levels. Companies have company vacations, schools and daycare centers are closed, and currently also restaurants, leisure and cultural facilities. ;Was bedeutet dies nun für die bevorstehenden Feiertage? Bislang wird die Weihnachtszeit als pandemisches Horrorszenario beschrieben, gilt sie doch als großes Risiko. Eigentlich aber ist sie eine Chance, eine Möglichkeit, die Infektionszahlen auf niedriges Niveau zu bringen. Unternehmen haben Betriebsferien, Schulen und Kitas sind geschlossen, derzeit auch Restaurants, Freizeit- und Kultureinrichtungen. 
24;The risk is called proximity: We are moving closer together within our own four walls, possibly with people from the most diverse parts of the republic. But that's exactly where we need to be particularly vigilant - even before we meet, but especially when we're together.;Das Risiko heißt Nähe: Wir rücken in unseren vier Wänden zusammen, womöglich mit Menschen aus den unterschiedlichsten Teilen der Republik. Dabei müssen wir genau dort besonders wachsam sein – schon bevor wir uns treffen, vor allem aber beim gemeinsamen Zusammensein.
25;By protecting our loved ones, slowing the spread of infection, and easing the burden on our healthcare system, we can take advantage of the holiday season and the deceleration it brings. We can give ourselves presents: After all, then, if we succeed in reducing the number of cases now, we can move more easily through the upcoming winter months, then we can visit restaurants, meet friends, and enjoy our so many cultural offerings. All of this is possible if infection numbers are kept at a low and stable level. ;Wenn wir unsere Liebsten schützen, die Ausbreitung der Infektion verlangsamen und unser Gesundheitssystem entlasten, können wir die Weihnachtszeit und die mit ihr verbundene Entschleunigung nutzen. Wir können uns selbst bescheren: Dann nämlich, wenn es uns gelingt, die Fallzahlen jetzt zu senken, können wir leichter durch die bevorstehenden Wintermonate gehen, dann können wir Restaurants besuchen, Freunde treffen und unsere so vielfältigen Kulturangebote genießen. All das ist möglich, wenn die Infektionszahlen auf einem niedrigen und stabilen Niveau gehalten werden. 
26;We don't want to sugarcoat anything: It will remain exhausting even then. But only if we put the virus in its place will we be able to lead a largely normal life again.;Wir wollen nichts beschönigen: Es wird auch dann anstrengend bleiben. Aber nur, wenn wir das Virus in seine Schranken weisen, können wir wieder ein weitgehend normales Leben führen.
