Field,English,German,Italian,Slovenian,Polish,French
15,Planning is possible:,Niedrige Fallzahlen erlauben Planbarkeit: ,Pianificare è possibile: ,Načrtovanje je mogoče: ,Planowanie jest możliwe: ,La planification est possible : 
16,"When case numbers are low, there is no need for rapid policy changes. This reduces the economic damage and the uncertainty and strain on mental health. However, if case numbers rise too high, preventive measures must be taken decisively to reduce them again - and the earlier, the better. ","Die Politik muss nicht überhastete, plötzliche Änderungen beschließen, was den wirtschaftlichen Schaden ebenso wie die Verunsicherung und psychische Belastung der Bevölkerung reduziert. Sollten die Fallzahlen stark steigen, müssen präventive Maßnahmen entschlossen ergriffen werden, um diese wieder zu senken – je früher, desto besser ","Quando il numero di casi è mantenuto basso, non è necessario cambiare le politiche in modo rapido e improvviso. Questo riduce il danno economico, l’incertezza e lo stress per la salute mentale. Tuttavia, se il numero di casi aumenta troppo, bisogna attuare misure preventive in modo rapido e deciso per abbassarlo di nuovo – e prima le si attua, meglio è ","Ko je število primerov malo, hitre spremembe politike niso potrebne. To zmanjšuje gospodarsko škodo in negotovost, kakor tudi obremenitev duševnega zdravja. Če pa število primerov preveč naraste, je treba odločno sprejeti preventivne ukrepe, da bi širjenje znova obvladali - in to čim prej tem bolje","gdy liczba zakażeń jest niska, nie są potrzebne gwałtowne zmiany polityki. Zmniejsza to straty ekonomiczne oraz niepewność i obciążenie dla zdrowia psychicznego ludzi. Jeśli jednak liczba przypadków nadmiernie wzrośnie, należy podjąć zdecydowane działania zapobiegawcze, aby ją ponownie obniżyć – i im wcześniej, tym lepiej","lorsque le nombre de cas est faible, il n'est pas nécessaire de changer rapidement de politique. Cela permet de réduire les dommages économiques ainsi que l'incertitude et la pression sur la santé mentale. Cependant, si le nombre de cas augmente trop, des mesures préventives doivent être prises de manière décisive pour les faire baisser à nouveau - et le plus tôt sera le mieux "
17,"To better manage the COVID-19 pandemic, we propose a strategy with three core elements:","Um den Umgang mit der COVID-19 Pandemie zu verbessern, schlagen wir daher eine gesamteuropäische Strategie vor, die folgende drei Kernelemente enthalten sollte:","Per gestire meglio la pandemia di COVID-19, proponiamo una strategia basata su tre elementi fondamentali:",Za boljše obvladovanje pandemije COVID-19 predlagamo strategijo s tremi ključnimi elementi:,"Aby lepiej zarządzać pandemią COVID-19, proponujemy strategię składającą się z trzech podstawowych elementów:","Pour mieux gérer la pandémie COVID-19, nous proposons une stratégie comportant trois éléments essentiels :"
18,Achieve low case numbers.,Rasch niedrige Fallzahlen erreichen,Arrivare a un basso numero di casi.,Dosežimo majhno število primerov.,Osiągnięcie niskiej liczby zakażeń. ,Atteindre un faible nombre de cas.
19,"Aim for a target of 10 new COVID-19 cases or less per million people per day. This target has already been reached in many countries, and can be reached again throughout Europe by spring, at the latest.",Anzustreben sind maximal zehn neue COVID-19-Fälle pro Million Menschen pro Tag. Dieses Ziel wurde in vielen Ländern erreicht und kann in ganz Europa spätestens im Frühjahr wieder erreicht werden.,"Puntare a un obiettivo di non più di 10 nuovi casi di COVID-19 per milione di persone al giorno. Questo obiettivo è stato raggiunto in passato in molti Paesi, e può essere raggiunto di nuovo in tutta Europa, entro la primavera al più tardi.","Cilj je največ 10 novih primerov COVID-19 na milijon ljudi na dan. Ta cilj je bil dosežen v mnogih državah, najpozneje do pomladi pa ga je mogoče ponovno doseči po vsej Evropi. ",Należy wyznaczyć cel polegający na utrzymaniu maksymalnej liczby 10 nowych przypadków COVID-19 na milion osób dziennie. Cel ten został już osiągnięty w wielu krajach i może zostać ponownie osiągnięty w całej Europie najpóźniej do wiosny.,Viser un objectif de pas plus de 10 nouveaux cas COVID-19 quotidien par million de personnes. Cet objectif a été atteint dans de nombreux pays et peut être atteint à nouveau dans toute l'Europe au plus tard au printemps.
20,"Take firm action to reduce case numbers quickly. Strong interventions have proven efficient, and balance the rapid achievement of low case numbers against the negative impact of the interventions on mental health and the economy.","Um die Fallzahlen schnell zu reduzieren, braucht es entschlossenes Handeln. Tiefgreifende Interventionen haben sich als effizient erwiesen. Sie stellen das rasche Erreichen niedriger Fallzahlen bei kurzdauernder Belastung von Psyche und Volkswirtschaft sicher.",Agire con decisione per ridurre rapidamente il numero di casi. Interventi forti si sono dimostrati efficaci e sono un buon compromesso tra il rapido raggiungimento di un basso numero di casi e lo stress per la salute mentale e l’economia.,"Ukrepati je potrebno odločno, da se bo število primerov hitro manjšalo. Odločne in stroge intervencije so se izkazale za učinkovite, še posebej v luči ravnotežja med hitrim doseganjem upada primerov in obremenitve za duševno zdravje in gospodarstvo.",Należy podjąć zdecydowane działania w celu szybkiego zmniejszenia liczby zakażeń. Zdecydowane środki okazały się skuteczne i pozwalają zrównoważyć szybkie osiągnięcie niskiej liczby przypadków z negatywnym wpływem obostrzeń na zdrowie psychiczne ludzi i na gospodarkę.,Prendre des mesures fermes pour réduire rapidement le nombre de cas. Des interventions fortes se sont avérées efficaces et permettent de trouver un équilibre entre la réduction rapide du nombre de cas et la pression exercée sur la santé mentale et l'économie.
21,"To avoid a ping-pong effect by importing and reimporting SARS-CoV-2 infections, the reduction should be synchronized across all European countries and start as soon as possible. This synchronization will allow European borders to stay open.","Um einen Ping-Pong-Effekt von importierten und re-importierten COVID-Infektionen zu vermeiden, sollten die Bemühungen um niedrige Fallzahlenin allen europäischen Ländern synchronisiert sein und so schnell wie möglich beginnen. Die Koordination der Maßnahmen erlaubt, dass die europäischen Grenzen offenbleiben können.","Per evitare un effetto ping-pong di importazione e reimportazione di infezioni da SARS-CoV-2, la riduzione dei casi dovrebbe essere sincronizzata in tutti i Paesi europei e cominciare il prima possibile. Questa sincronizzazione consentirà ai confini europei di rimanere aperti senza problemi.","Da bi se izognili ping-pong učinku uvoza in ponovnega uvoza okužb s SARS-CoV-2, je potrebno ukrepe in z njimi povezano zmanjšane števila primerov uskladiti v vseh evropskih državah, in to čim prej. Ta usklajenost bo evropskim mejam omogočila, da ostanejo odprte.","Aby uniknąć tzw. efektu jojo związanego z przywożeniem i ponownym przywożeniem wirusa SARS-CoV-2 z zagranicy, ograniczenie liczby zakażeń powinno zostać zsynchronizowane we wszystkich krajach europejskich i należy je osiągnąć jak najszybciej. Synchronizacja ta pozwoli na utrzymanie w Europie otwartych granic.","Afin d'éviter l'effet de ping-pong lié à l'importation et à la réimportation d'infections de SARS-Cov-2, la réduction devrait être synchronisée dans tous les pays européens et commencer dès que possible. Cette synchronisation permettra aux frontières européennes de rester ouvertes."
22,Keep case numbers low.,Fallzahlen niedrig halten,Mantenere basso il numero dei casi.,Ohranjajmo majhno število primerov.,Utrzymanie niskiej liczby zakażeń. ,Maintenir le nombre de cas à un faible niveau.
23,"At low case numbers, restrictions may be eased, but this should be carefully monitored. Targeted mitigation measures, such as mask wearing, hygiene, contact regulation and TTIS will be continued and improved.","Sobald die Fallzahlen niedrig sind, können die Beschränkungen – unter sorgfältiger Überwachung – gelockert werden. Eindämmungsmaßnahmen wie das Tragen von Masken, erhöhte Hygiene, moderate Kontaktreduzierung, Tests und Contact Tracing sollten fortgesetzt und verbessert werden.","Quando il numero di casi è basso, un allentamento delle restrizioni è possibile, ma deve essere attentamente monitorato. Bisogna continuare ad adottare, e migliorare, le misure di mitigazione mirate: indossare la mascherina, igiene, moderata riduzione dei contatti, test e tracciamento dei contatti.","Če je število primerov majhno, je mogoče ublažiti omejitve, vendar jih je potrebno tudi skrbno spremljati. Nadaljujmo in izboljšajmo ciljno usmerjene preventivne ukrepe, kot so nošenje mask, higiena, zmerno zmanjšanje stikov, testiranje in sledenje stikom.","Przy niskiej liczbie zakażeń można złagodzić obostrzenia, ale należy uważnie monitorować sytuację. Ukierunkowane środki łagodzące, takie jak noszenie maseczek, przestrzeganie zasad higieny, regulacje dotyczące kontaktów fizycznych oraz strategia polegająca na testowaniu, śledzeniu, izolowaniu i wspieraniu, będą kontynuowane i udoskonalane.","Lorsque le nombre de cas est faible, un assouplissement des restrictions est possible, mais il doit être surveillé de près. Poursuivre et améliorer les mesures d'atténuation ciblées, telles que le port de masque, l'hygiène, la réduction modérée des contacts, les tests et la recherche des contacts."
24,"Even if case numbers are low, a strategy for surveillance testing (of at least 300 tests per million people per day) should be in place, covering the most important population groups at risk so that an increase in case numbers  can be detected in time.",Auch bei niedrigen Fallzahlen sollte es eine Überwachungsstrategie geben – mindestens 300 Tests pro Million EinwohnerInnen pro Tag. Damit kann ein Anstieg der Fallzahlen rechtzeitig erkannt werden.,"Anche se il numero di casi è basso, una campagna di test di sorveglianza (come minimo 300 test per milione di persone al giorno) deve essere sempre attiva, in modo che un aumento nel numero di casi possa essere rilevato tempestivamente.","Tudi če je število primerov majhno, bi morala obstajati strategija za nadzorno testiranje (najmanj 300 testov na milijon ljudi na dan), tako da bi lahko pravočasno zaznali povečanje števila primerov.","Nawet przy niskiej liczbie przypadków należy wprowadzić strategię testów kontrolnych (co najmniej 300 testów na milion osób dziennie) ukierunkowaną na najbardziej zagrożone grupy ludności, aby można było wystarczająco wcześnie wykryć wzrost liczby zakażeń.","Même si le nombre de cas est faible, une stratégie de tests de surveillance (au moins 300 tests par million de personnes par jour) doit être mise en place, afin qu'une augmentation du nombre de cas puisse être détectée à temps."
25,"Local outbreaks require a rapid and rigorous response, including travel restrictions, targeted testing, and possibly regional lockdowns, to achieve a rapid reduction in prevalence.","Lokale Ausbrüche erfordern eine schnelle und rigorose Reaktion mit Reisebeschränkungen, gezielten Tests und möglicherweise regionalen Absperrungen, bis die Zielvorgabe wieder erreicht ist.","Focolai locali vanno affrontati con una risposta rapida e rigorosa, che comprende restrizioni di viaggio, test mirati, e se necessario lockdown regionali, così da ottenere una rapida riduzione della prevalenza.","Lokalni izbruhi zahtevajo hiter in strog odziv, vključno z omejitvami potovanja, usmerjenim testiranjem in po možnosti regionalnimi zaporami, da se doseže hitro zmanjšanje razširjenosti","Lokalne ogniska zakażeń wymagają szybkiej i zdecydowanej reakcji, w tym ograniczeń w podróżowaniu, ukierunkowanego testowania i potencjalnie lokalnego zamknięcia gospodarki, w celu szybkiego zmniejszenia liczby nowych zakażeń.","Les foyers locaux nécessitent une réponse rapide et rigoureuse, y compris des restrictions de voyage, des tests ciblés et éventuellement des confinements régionaux, pour parvenir à une réduction rapide de la prévalence."
26,Develop a longer-term common vision.,"Eine gemeinsame, langfristige Vision entwickeln",Sviluppare una visione comune di lungo termine. ,Razvijmo dolgoročno skupno vizijo. ,Wypracowanie długoterminowej wspólnej wizji. ,Développer une vision commune à plus long terme. 
